"hotelNo","hotelName","address1","address2","postalCode","areaCode","areaName","","","","","","","","","","","","",""
"50461","スマイルホテル東京西葛西","東京都","江戸川区西葛西3-15-5","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"20242","ホテル　ルミエール葛西","東京都","江戸川区中葛西5-41-20","134-0083","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"39980","すえひろの湯　ドーミーイン秋葉原（ドーミーイン・御宿野乃　ホテルズグループ）","東京都","千代田区外神田4-12-5","101-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"41069","三井ガーデンホテル銀座プレミア","東京都","中央区銀座8－13－1","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"15041","銀座ベルビューホテル","東京都","中央区銀座6-4-14","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"192884","アパホテル〈東京西葛西駅前〉","東京都","江戸川区西葛西5-5-18","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"109470","アパホテル〈日本橋浜町駅南〉","東京都","中央区日本橋浜町3-43-8","103-0007","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"958","スマイルホテル東京日本橋","東京都","中央区日本橋茅場町2-13-5","103-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"139945","相鉄フレッサイン　東京東陽町駅前","東京都","江東区東陽4-4-3","135-0016","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"40568","東急ステイ日本橋","東京都","中央区日本橋本町4-7-9","103-0023","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"76496","ホテル龍名館東京","東京都","中央区八重洲1-3-22","103-0028","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"69217","コンフォートホテル東京神田","東京都","千代田区神田東松下町11-2","101-0042","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"134922","相鉄フレッサイン　東京京橋","東京都","中央区京橋2-11-1","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"188020","アパホテル〈八丁堀駅前〉","東京都","中央区八丁堀2-26-3","104-0032","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"16727","ホテルルートインＧｒａｎｄ東京東陽町","東京都","江東区東陽2-3-12","135-0016","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"5562","丸ノ内ホテル","東京都","千代田区丸の内1-6-3","100-0005","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"41702","東急ステイ築地（旧：東急ステイ東銀座）","東京都","中央区築地4-11-5","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"1566","ロイヤルパークホテル","東京都","中央区日本橋蛎殻町2-1-1","103-8520","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"166134","アパホテル〈日本橋　馬喰町駅北〉","東京都","千代田区東神田1-14-1","101-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"164859","変なホテル東京　西葛西","東京都","江戸川区西葛西5-4-7","134-0088","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"167921","ホテルリソル秋葉原","東京都","千代田区神田須田町2-25-12","101-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"31972","コンフォートホテル東京清澄白河","東京都","江東区白河1-6-12","135-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"172447","Ｊホテル東京ジオ","東京都","中央区日本橋本石町3-1-6","103-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"179996","アパホテル〈日本橋　馬喰横山駅前〉","東京都","中央区日本橋横山町5-6","103-0003","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"147027","アパホテル〈東日本橋駅前〉","東京都","中央区東日本橋3-12-14","103-0004","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"135970","アパホテル〈小伝馬町駅前〉","東京都","中央区日本橋大伝馬町14-20","103-0011","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
